fileName,name,age,gender,vText
nicoleannrasmussen.myreel.shot7.voiceover.mp4,,(25-32),Female,"Transcript: Dallas can in our outdoor gym, yogurt, berries and measly to stop the day. I love trying my husband, and I outdoor gym is the best, but the moment we need to be mindful of social distancing."
melaniekit.myreel.shot7.voiceover.mp4,,(25-32),Female,"Transcript: My favorite exercises, the bear for you.Transcript:  I love to have a salad at least once a day.Transcript:  My mom and I are the dynamic duo and trying to get every day.Transcript:  And I know my love socializing with my friends, but for now, my brothers will do."
geddes94.myreel.shot7.voiceover.mp4,,(38-43),Male,"Transcript: Cat in before work and a nice big breakfast after work. It's on the food in training and maybe it's need to be with the girls off to it. At least. That's what I usually do this, G. So now it's just extra running session to tape up. My cardio, Fitness ready to jump into 46."
jessica.vanbeijnum.myreel.shot7.voiceover.mp4,,No intro clip to detect,No intro clip to detect,"Transcript: I love to kick start my day with some yoga, then hiring for simony. Yummy scrambled eggs. I love training with others and obscurity, his friends family, and nature time."
kjn1.myreel.shot7.voiceover.mp4,,(25-32),Female,"Transcript: My I do die is waking up before the sun comes up and going for a run. My daughter is definitely hot out of my diet. I packed my meals with color and nutrition. I love to strength, trying and finish the day, having fun with my beautiful family."
meg_scheff.myreel.shot7.voiceover.mp4,,No intro clip to detect,No intro clip to detect,Transcript: As a dance off. My day will always include dad's whether that be an online class at the moment or dancing to my favorite music. I love doing hit workouts with my housemates and hanging out with them throughout the day.
vanessa_panella.myreel.shot7.voiceover.mp4,,No intro clip to detect,No intro clip to detect,Transcript: I love any compound exercises that targets my load buddy. I have a flexible diet that includes baking healthy traits. I am passionate about helping others achieve their fitness goals in my spare time. I'm with my daughter taking a dancing and bike riding.
david.vanderwaal.myreel.shot7.voiceover.mp4,,No intro clip to detect,No intro clip to detect,"Transcript: My favorite exercises outdoor carrier. I enjoy a protein shake with natural sugar. For brekkie. My indoor bike trainer of his flexibility around my busy schedule, and as often as I can find a tie in Social ketchup, sweet travel Adventures."
noviejjoe.myreel.shot7.voiceover.mp4,,"No enough faces detected, unknown age","No enough faces detected, unknown gender","Transcript: Kettlebell exercises. Healthy homemade granola with yogurt motivating, friends, during training and enjoying some coffee and relaxing With Friends."
haylulu.myreel.shot7.voiceover.mp4,,(25-32),Female,"Transcript: My favorites on my fitness is CrossFit. I love anything to do with the bow. I'm passionate about nutrition and I'm currently living a plant-based lifestyle when I'm not studying, or working out in my Olson, backyard at the house, with the members of my family and explore the many parks in Melvin."
harleyxinpengcen.myreel.shot7.voiceover.mp4,,(0-2),Female,Transcript: My idea days. I want to play basketball.Transcript:  Go out for a walk with my dog. Go to meet some family. People talks people help people.
shane.myreel.shot7.voiceover.mp4,,(0-2),Male,"Transcript: Jim Schott, I still do simple exercises at home. My family love to eat vegetables, chicken and fish. I still train during the quarantine and still at 5 a.m. And the best thing about the quarantine is taking my kids for Black Rose walks in soccer."
weesy1991.myreel.shot7.voiceover.mp4,,(25-32),Male,"Transcript: Definitely blessed cuz I love starting my day with fresh veggies and eggs to protein. I'm kind of doing online sessions with my gym, which I'm loving and socializing with them online as well."
